listing_id,brand,model,city,year,car_age,km_driven,fuel_type,transmission,owner_count,mileage_kmpl,engine_cc,insurance_valid,listing_date,asking_price,status,days_to_sell,sold_price
C24-10027,Maruti Suzuki,Swift,Pune,2022,3,44790,Diesel,Manual,1.0,16.4,2200,Yes,2025-05-20,517000.0,Sold,17.0,498452.0
C24-10028,Tata,Punch,Jaipur,2016,9,112992,Diesel,Manual,1.0,20.5,1199,Yes,2024-08-02,165000.0,Sold,26.0,155683.0
C24-10029,Volkswagen,Vento,Chandigarh,2018,7,98163,Diesel,Manual,1.0,16.0,2000,Yes,2024-01-29,267000.0,Sold,2.0,245925.0
C24-10030,Maruti Suzuki,Dzire,Delhi NCR,2015,10,130612,CNG,Automatic,1.0,14.2,1197,Yes,2024-05-05,131000.0,Sold,22.0,130881.0
C24-10031,Renault,Triber,Ahmedabad,2012,13,146624,Petrol,Manual,2.0,15.8,1199,Yes,2024-04-26,79000.0,Sold,136.0,78923.0
C24-10032,Toyota,Urban Cruiser,Chennai,2015,10,123789,CNG,Automatic,1.0,18.2,1498,Yes,2024-09-15,339000.0,Sold,78.0,337767.0
C24-10033,Renault,Triber,Ahmedabad,2016,9,101861,Petrol,Manual,1.0,17.4,1197,Yes,2024-02-10,141000.0,Sold,9.0,135887.0
C24-10034,Maruti Suzuki,Swift,Delhi NCR,2024,1,11017,Petrol,Manual,2.0,20.6,2000,Yes,2024-01-05,647000.0,Sold,1.0,627514.0
C24-10035,Maruti Suzuki,Baleno,Delhi NCR,2020,5,68297,Petrol,Automatic,4.0,19.1,1199,Yes,2025-01-19,303000.0,Sold,1.0,301173.0
C24-10036,Maruti Suzuki,Alto,Hyderabad,2016,9,115393,Electric,Manual,1.0,6.8,1197,Yes,2025-03-21,178000.0,Sold,66.0,167220.0
C24-10037,Hyundai,Grand i10,Ahmedabad,2017,8,88510,Petrol,Manual,2.0,22.7,1199,Yes,2025-02-04,220000.0,Sold,4.0,219493.0
C24-10038,Toyota,Innova,Mumbai,2023,2,24432,Diesel,Automatic,2.0,,1199,Yes,2025-04-25,1403000.0,Sold,22.0,1358492.0
C24-10039,Kia,Sonet,Bengaluru,2021,4,61748,Diesel,Automatic,3.0,11.2,1199,No,2024-02-22,684000.0,Sold,8.0,672556.0
C24-10040,Tata,Nexon,Kolkata,2017,8,88735,Petrol,Manual,2.0,20.2,1197,No,2024-03-01,227000.0,Sold,6.0,226257.0
C24-10041,Toyota,Fortuner,Chandigarh,2012,13,156120,Petrol,Manual,1.0,21.1,1000,Yes,2024-03-13,179000.0,Sold,4.0,172109.0
C24-10042,Mahindra,Bolero,Ahmedabad,2024,1,13452,CNG,Automatic,4.0,14.9,1199,No,2024-03-18,974000.0,Sold,9.0,915757.0
C24-10043,Ford,EcoSport,Kolkata,2022,3,29757,Diesel,Automatic,1.0,17.5,1199,Yes,2025-04-29,593000.0,Sold,3.0,566245.0
C24-10044,Maruti Suzuki,Baleno,Jaipur,2015,10,130744,CNG,Manual,1.0,12.8,1498,Yes,2025-02-28,131000.0,Sold,14.0,121571.0
C24-10045,Hyundai,Venue,Ahmedabad,2020,5,71127,Petrol,Manual,1.0,15.4,1000,Yes,2024-05-16,348000.0,Sold,1.0,333397.0
C24-10046,Ford,EcoSport,Pune,2015,10,115385,Electric,Automatic,1.0,6.8,1498,No,2025-03-10,280000.0,Sold,60.0,275406.0
C24-10047,Renault,Triber,Pune,2012,13,168956,Petrol,Manual,1.0,21.9,1000,Yes,2025-05-25,104000.0,Sold,26.0,99568.0
C24-10048,Maruti Suzuki,Baleno,Ahmedabad,2023,2,29012,Petrol,Manual,1.0,13.9,1000,Yes,2025-02-22,486000.0,Sold,7.0,449859.0
C24-10049,Hyundai,Verna,Ahmedabad,2014,11,123809,Electric,Manual,1.0,6.5,1997,Yes,2024-08-16,212000.0,Sold,8.0,209224.0
C24-10050,Toyota,Innova,Hyderabad,2015,10,126561,Petrol,Manual,2.0,11.2,1199,Yes,2024-01-23,279000.0,Sold,19.0,266110.0
C24-10051,Maruti Suzuki,Swift,Kolkata,2019,6,78445,Petrol,Manual,2.0,12.1,1000,No,2024-10-15,236000.0,Sold,19.0,219123.0
C24-10052,Honda,City,Chennai,2022,3,48078,Diesel,Manual,3.0,19.6,1197,No,2024-06-05,561000.0,Sold,14.0,539172.0
C24-10053,Honda,WR-V,Mumbai,2015,10,112169,Petrol,Manual,1.0,14.9,1000,No,2024-05-13,188000.0,Sold,16.0,181051.0
C24-10054,Renault,Kwid,Ahmedabad,2019,6,86257,Petrol,Manual,3.0,20.4,1498,Yes,2024-02-20,263000.0,Sold,34.0,243340.0
C24-10055,Mahindra,Bolero,Kolkata,2021,4,58763,Petrol,Manual,3.0,18.2,1498,Yes,2024-11-04,615000.0,Sold,8.0,575499.0
C24-10056,Toyota,Fortuner,Jaipur,2021,4,46160,Petrol,Manual,1.0,20.5,1498,Yes,2024-06-27,732000.0,Sold,6.0,698173.0
C24-10057,Honda,Amaze,Hyderabad,2022,3,23974,CNG,Manual,2.0,16.9,1000,No,2024-11-22,523000.0,Sold,16.0,520193.0
C24-10058,Kia,Carens,Ahmedabad,2024,1,530,CNG,Manual,3.0,23.9,1498,Yes,2025-05-16,928000.0,Sold,8.0,898247.0
C24-10059,Mahindra,Bolero,Pune,2018,7,98544,Petrol,Automatic,2.0,20.1,1199,No,2024-02-24,386000.0,Sold,4.0,363890.0
C24-10060,Ford,EcoSport,Jaipur,2022,3,56570,Petrol,Manual,1.0,18.6,1199,No,2024-04-05,532000.0,Sold,89.0,506327.0
C24-10061,Honda,WR-V,Hyderabad,2018,7,87527,Petrol,Manual,3.0,19.3,1197,No,2025-06-06,254000.0,Sold,8.0,246284.0
C24-10062,Kia,Carens,Pune,2020,5,45972,Diesel,Manual,3.0,15.8,1498,Yes,2024-05-07,572000.0,Sold,4.0,549816.0
C24-10063,Maruti Suzuki,Swift,Ahmedabad,2020,5,68826,Diesel,Manual,1.0,,1197,Yes,2024-05-25,304000.0,Sold,17.0,284177.0
C24-10064,Volkswagen,Vento,Mumbai,2021,4,43509,Diesel,Manual,1.0,19.3,1197,Yes,2025-03-30,571000.0,Sold,16.0,532715.0
C24-10065,Toyota,Urban Cruiser,Chandigarh,2017,8,102755,Petrol,Manual,2.0,18.7,1197,Yes,2024-10-22,316000.0,Sold,17.0,292855.0
C24-10066,Kia,Carens,Chennai,2017,8,95601,Petrol,Manual,1.0,13.5,1199,Yes,2025-05-21,325000.0,Sold,26.0,316309.0
C24-10067,Renault,Triber,Hyderabad,2012,13,157861,Petrol,Manual,1.0,15.5,1197,No,2024-08-16,109000.0,Sold,1.0,100561.0
C24-10068,Mahindra,Scorpio,Bengaluru,2012,13,145445,Petrol,Automatic,1.0,17.1,1997,Yes,2025-01-08,219000.0,Sold,39.0,201820.0
C24-10069,Hyundai,i20,Chandigarh,2021,4,56646,Petrol,Manual,2.0,10.2,1000,Yes,2025-05-12,402000.0,Sold,11.0,376421.0
C24-10070,Honda,Jazz,Bengaluru,2012,13,145807,Petrol,Automatic,2.0,23.7,1199,No,2024-12-29,120000.0,Sold,33.0,112281.0
C24-10071,Honda,City,Chennai,2024,1,22385,Petrol,Manual,2.0,18.3,2000,No,2024-02-08,926000.0,Sold,1.0,922097.0
C24-10072,Maruti Suzuki,Alto,Hyderabad,2023,2,10545,Petrol,Manual,2.0,11.0,1197,Yes,2024-11-19,470000.0,Sold,20.0,447849.0
C24-10073,Maruti Suzuki,Alto,Jaipur,2015,10,112650,Petrol,Manual,1.0,17.3,1997,No,2024-01-11,116000.0,Sold,82.0,106820.0
C24-10074,Kia,Carens,Ahmedabad,2016,9,106974,CNG,Manual,1.0,16.0,2200,No,2025-06-04,248000.0,Active,,
C24-10075,Renault,Kwid,Mumbai,2014,11,141553,Petrol,Automatic,2.0,15.2,1199,Yes,2024-12-22,137000.0,Sold,3.0,127383.0
C24-10076,Tata,Altroz,Jaipur,2021,4,52347,Petrol,Automatic,2.0,22.3,1000,Yes,2024-06-24,426000.0,Sold,15.0,423237.0
C24-10077,Toyota,Innova,Delhi NCR,2024,1,6152,Petrol,Automatic,3.0,25.5,1199,No,2024-10-15,1473000.0,Sold,27.0,1379031.0
C24-10078,Ford,Figo,Delhi NCR,2024,1,16019,Petrol,Manual,2.0,21.4,1498,,2024-12-28,779000.0,Sold,3.0,722369.0
C24-10079,Hyundai,Grand i10,Mumbai,2018,7,85173,Diesel,Manual,1.0,17.0,1199,Yes,2025-03-23,301000.0,Sold,19.0,282221.0
C24-10080,Mahindra,Bolero,Kolkata,2023,2,28863,Petrol,Automatic,1.0,18.7,2000,Yes,2024-01-17,1031000.0,Sold,25.0,972556.0
C24-10081,Mahindra,XUV700,Chennai,2013,12,140762,Diesel,Manual,4.0,15.7,1498,Yes,2025-04-04,198000.0,Sold,1.0,197649.0
C24-10082,Mahindra,Bolero,Bengaluru,2013,12,132415,Petrol,Manual,1.0,9.2,1997,Yes,2025-06-22,232000.0,Active,,
C24-10083,Ford,Figo,Hyderabad,2015,10,130484,CNG,Automatic,1.0,21.6,1000,Yes,2025-06-07,170000.0,Active,,
C24-10084,Ford,Figo,Jaipur,2022,3,39679,CNG,Automatic,2.0,20.4,1000,,2025-06-10,496000.0,Sold,13.0,491345.0
C24-10085,Maruti Suzuki,Dzire,Pune,2020,5,65672,Petrol,Manual,1.0,12.7,1498,Yes,2024-03-04,343000.0,Sold,13.0,342681.0
C24-10086,Hyundai,Creta,Chennai,2012,13,163518,Petrol,Manual,1.0,21.4,1000,Yes,2024-04-01,114000.0,Sold,49.0,108896.0
C24-10087,Hyundai,Grand i10,Delhi NCR,2024,1,8934,Petrol,Manual,1.0,,1197,No,2024-03-30,885000.0,Sold,15.0,828318.0
C24-10088,Hyundai,Creta,Kolkata,2024,1,26495,Diesel,Automatic,3.0,19.4,1498,No,2024-01-07,807000.0,Sold,16.0,771298.0
C24-10089,Mahindra,Scorpio,Chennai,2020,5,55718,Petrol,Manual,1.0,24.7,1498,Yes,2025-06-20,568000.0,Active,,
C24-10090,Kia,Sonet,Pune,2016,9,107805,Diesel,Automatic,2.0,,1498,Yes,2024-02-04,284000.0,Sold,7.0,274493.0
C24-10091,Maruti Suzuki,Dzire,Delhi NCR,2024,1,16514,CNG,Automatic,3.0,23.5,1498,Yes,2025-02-23,621000.0,Sold,1.0,601350.0
C24-10092,Honda,Amaze,Mumbai,2014,11,138403,Diesel,Manual,1.0,18.7,1498,Yes,2025-06-03,194000.0,Sold,17.0,184659.0
C24-10093,Renault,Triber,Mumbai,2024,1,15166,Petrol,Automatic,1.0,17.2,1498,Yes,2024-03-24,760000.0,Sold,10.0,750057.0
C24-10094,Volkswagen,Polo,Mumbai,2012,13,152258,CNG,Manual,4.0,19.4,1199,Yes,2024-12-26,90000.0,Sold,21.0,88209.0
C24-10095,Maruti Suzuki,Swift,Chennai,2016,9,110033,Petrol,Manual,1.0,24.0,1498,,2025-01-01,154000.0,Sold,64.0,151464.0
C24-10096,Honda,Amaze,Mumbai,2021,4,53861,Petrol,Manual,1.0,17.7,1199,Yes,2024-07-03,598000.0,Sold,16.0,585837.0
C24-10097,Hyundai,Grand i10,Chennai,2024,1,15620,Petrol,Manual,1.0,18.3,1000,Yes,2024-12-17,781000.0,Sold,3.0,720810.0
C24-10098,Hyundai,i20,Kolkata,2013,12,149347,Electric,Manual,3.0,5.5,1498,Yes,2024-02-22,149000.0,Sold,43.0,142119.0
C24-10099,Hyundai,Creta,Chennai,2020,5,61128,Petrol,Automatic,3.0,19.4,1498,No,2025-01-15,436000.0,Sold,33.0,403712.0
C24-10100,Tata,Tiago,Mumbai,2024,1,10799,CNG,Manual,1.0,18.5,800,Yes,2025-04-17,730000.0,Sold,11.0,698131.0
C24-10101,Tata,Punch,Chennai,2021,4,34850,Petrol,Manual,2.0,30.6,2200,No,2024-08-08,508000.0,Sold,8.0,492548.0
C24-10102,Hyundai,Verna,Pune,2017,8,102839,Diesel,Automatic,1.0,21.9,1997,Yes,2024-02-20,282000.0,Sold,1.0,260919.0
C24-10103,Mahindra,Bolero,Mumbai,2016,9,111040,Petrol,Manual,1.0,21.9,1199,Yes,2025-02-23,291000.0,Sold,37.0,281690.0
C24-10104,Honda,Amaze,Jaipur,2023,2,24843,Petrol,Manual,2.0,12.7,1000,Yes,2025-01-19,755000.0,Sold,8.0,723199.0
C24-10105,Kia,Sonet,Chennai,2021,4,47398,Petrol,Manual,1.0,12.4,1997,No,2024-02-18,755000.0,Sold,5.0,707856.0
C24-10106,Hyundai,Venue,Pune,2013,12,139457,Petrol,Manual,1.0,19.7,1000,Yes,2025-03-07,133000.0,Sold,14.0,130550.0
C24-10107,Kia,Carens,Chandigarh,2020,5,68746,Petrol,Manual,1.0,14.8,1197,Yes,2025-04-03,574000.0,Active,,
C24-10108,Tata,Punch,Chandigarh,2024,1,3193,Petrol,Automatic,1.0,15.2,800,Yes,2024-08-17,924000.0,Sold,13.0,873724.0
C24-10109,Renault,Kwid,Chennai,2013,12,131552,Diesel,Automatic,1.0,18.0,1197,Yes,2025-03-17,130000.0,Active,,
C24-10110,Volkswagen,Polo,Chandigarh,2023,2,34512,Petrol,Manual,2.0,13.1,2000,Yes,2025-05-31,617000.0,Sold,22.0,579061.0
C24-10111,Maruti Suzuki,Swift,Hyderabad,2019,6,69468,Petrol,Manual,2.0,18.5,1997,Yes,2025-04-25,259000.0,Sold,6.0,251920.0
C24-10112,Volkswagen,Polo,Mumbai,2022,3,31594,CNG,Manual,3.0,21.3,1997,Yes,2024-11-11,605000.0,Sold,31.0,594908.0
C24-10113,Maruti Suzuki,Baleno,Chennai,2019,6,83216,Diesel,Manual,1.0,15.2,1000,No,2025-02-02,255000.0,Sold,12.0,251460.0
C24-10114,Hyundai,Venue,Mumbai,2021,4,46198,CNG,Manual,3.0,18.8,2000,Yes,2025-01-15,489000.0,Sold,7.0,451726.0
C24-10115,Mahindra,XUV700,Hyderabad,2015,10,124462,Petrol,Manual,1.0,18.2,2200,Yes,2025-06-26,273000.0,Active,,
C24-10116,Mahindra,XUV300,Mumbai,2014,11,121350,Diesel,Manual,1.0,19.1,1199,Yes,2024-03-23,219000.0,Sold,6.0,217692.0
C24-10117,Tata,Punch,Delhi NCR,2012,13,163056,Petrol,Automatic,1.0,15.6,1498,No,2024-03-03,136000.0,Sold,62.0,131595.0
C24-10118,Tata,Altroz,Chennai,2017,8,94138,Diesel,Automatic,2.0,13.8,1498,Yes,2024-01-13,287000.0,Sold,1.0,281462.0
C24-10119,Toyota,Innova,Mumbai,2012,13,146451,Petrol,Manual,1.0,10.2,1997,Yes,2025-05-24,256000.0,Sold,6.0,249350.0
C24-10120,Hyundai,Venue,Jaipur,2021,4,50279,Diesel,Automatic,4.0,18.8,1997,Yes,2024-01-29,430000.0,Sold,7.0,397997.0
C24-10121,Ford,EcoSport,Kolkata,2019,6,86608,Diesel,Automatic,1.0,17.5,2000,Yes,2025-03-24,387000.0,Sold,15.0,385519.0
C24-10122,Ford,EcoSport,Kolkata,2019,6,52528,Diesel,Manual,1.0,18.7,2200,No,2024-12-15,333000.0,Sold,46.0,331169.0
C24-10123,Renault,Triber,Delhi NCR,2020,5,45770,Petrol,Automatic,4.0,14.6,800,No,2024-04-28,309000.0,Sold,1.0,285058.0
C24-10124,Toyota,Urban Cruiser,Ahmedabad,2023,2,25839,Petrol,Manual,,14.4,1197,Yes,2025-02-17,976000.0,Sold,44.0,923219.0
C24-10125,Tata,Nexon,Ahmedabad,2018,7,81048,Electric,Manual,3.0,6.3,1498,,2024-10-28,283000.0,Sold,36.0,265421.0
C24-10126,Mahindra,Scorpio,Jaipur,2013,12,146579,CNG,Manual,1.0,15.3,2200,Yes,2024-10-04,161000.0,Sold,31.0,153396.0
C24-10127,Ford,EcoSport,Chennai,2018,7,76478,Diesel,Manual,2.0,17.3,1000,Yes,2024-05-08,304000.0,Sold,37.0,282563.0
C24-10128,Honda,WR-V,Bengaluru,2022,3,44799,Petrol,Automatic,2.0,14.6,1498,Yes,2024-08-21,779000.0,Sold,24.0,776799.0
C24-10129,Maruti Suzuki,Swift,Mumbai,2014,11,114294,Diesel,Manual,3.0,18.9,1000,Yes,2024-05-11,87000.0,Sold,43.0,80832.0
C24-10130,Tata,Tiago,Hyderabad,2018,7,93332,Diesel,Manual,,15.7,1498,,2024-12-01,289000.0,Sold,6.0,272747.0
C24-10131,Ford,Figo,Ahmedabad,2023,2,25476,Diesel,Automatic,2.0,14.7,800,Yes,2025-06-25,705000.0,Active,,
C24-10132,Honda,WR-V,Bengaluru,2018,7,76978,Petrol,Manual,1.0,21.1,800,No,2024-04-27,362000.0,Sold,26.0,349800.0
C24-10133,Honda,WR-V,Chennai,2018,7,91057,Electric,Automatic,2.0,4.7,1197,Yes,2024-09-10,425000.0,Sold,24.0,401279.0
C24-10134,Tata,Harrier,Bengaluru,2014,11,126469,Petrol,Manual,1.0,9.1,1199,No,2024-10-21,177000.0,Sold,23.0,170814.0
C24-10135,Volkswagen,Vento,Chennai,2023,2,35424,Petrol,Manual,1.0,21.1,2200,Yes,2025-02-17,819000.0,Sold,1.0,800934.0
C24-10136,Kia,Sonet,Ahmedabad,2021,4,44158,Electric,Manual,1.0,6.7,1997,Yes,2025-06-16,909000.0,Active,,
C24-10137,Kia,Sonet,Mumbai,2019,6,88266,Diesel,Manual,2.0,11.7,1498,No,2024-03-22,441000.0,Sold,3.0,415416.0
C24-10138,Toyota,Urban Cruiser,Delhi NCR,2023,2,17532,Petrol,Automatic,1.0,16.7,1000,Yes,2024-12-19,1346000.0,Sold,7.0,1287578.0
C24-10139,Kia,Sonet,Delhi NCR,2017,8,105189,Petrol,Manual,3.0,13.6,1498,Yes,2024-04-07,286000.0,Sold,56.0,275471.0
C24-10140,Kia,Sonet,Ahmedabad,2022,3,30822,Diesel,Manual,2.0,17.8,1000,Yes,2024-08-01,732000.0,Sold,1.0,724606.0
C24-10141,Mahindra,XUV300,Jaipur,2012,13,148373,Diesel,Automatic,1.0,17.8,2000,,2024-08-14,179000.0,Sold,4.0,169594.0
C24-10142,Volkswagen,Polo,Mumbai,2022,3,36906,Petrol,Manual,1.0,12.2,1997,Yes,2024-08-25,778000.0,Sold,12.0,768168.0
C24-10143,Honda,Amaze,Mumbai,2014,11,136293,Petrol,Automatic,3.0,18.1,1498,Yes,2025-06-03,176000.0,Active,,
C24-10144,Toyota,Urban Cruiser,Chennai,2020,5,60193,CNG,Automatic,4.0,23.6,1197,No,2024-09-16,598000.0,Sold,134.0,551127.0
C24-10145,Kia,Carens,Hyderabad,2020,5,71458,Diesel,Manual,2.0,15.9,2200,Yes,2024-09-21,502000.0,Sold,38.0,480281.0
C24-10146,Tata,Punch,Jaipur,2023,2,15122,Petrol,Automatic,2.0,14.6,1997,Yes,2024-08-05,720000.0,Sold,1.0,706183.0
C24-10147,Honda,Amaze,Jaipur,2022,3,33584,Diesel,Manual,2.0,11.9,1997,,2024-10-15,701000.0,Sold,2.0,663079.0
C24-10148,Hyundai,Venue,Ahmedabad,2017,8,92783,Petrol,Manual,3.0,20.1,1197,Yes,2024-05-22,205000.0,Sold,7.0,204455.0
C24-10149,Toyota,Innova,Pune,2018,7,99511,CNG,Automatic,2.0,21.4,800,Yes,2024-12-19,423000.0,Sold,15.0,407421.0
C24-10150,Honda,City,Ahmedabad,2022,3,31717,Petrol,Manual,2.0,17.6,2000,,2025-03-01,616000.0,Sold,23.0,574631.0
C24-10151,Kia,Sonet,Jaipur,2023,2,30004,Petrol,Automatic,2.0,12.1,1000,Yes,2025-04-09,869000.0,Sold,4.0,868137.0
C24-10152,Ford,Figo,Jaipur,2020,5,68400,Diesel,Manual,1.0,14.5,2000,,2024-05-06,405000.0,Sold,24.0,387785.0
C24-10153,Maruti Suzuki,Dzire,Bengaluru,2016,9,121684,Petrol,Automatic,1.0,,1000,No,2024-11-19,178000.0,Sold,61.0,177078.0
C24-10154,Maruti Suzuki,Alto,Kolkata,2023,2,15036,Petrol,Manual,1.0,17.6,1000,Yes,2025-05-19,501000.0,Sold,21.0,491483.0
C24-10155,Kia,Sonet,Bengaluru,2013,12,149076,Diesel,Automatic,1.0,21.6,800,Yes,2024-09-18,223000.0,Sold,1.0,220501.0
C24-10156,Renault,Kwid,Jaipur,2019,6,51860,Petrol,Manual,1.0,12.2,1498,Yes,2024-12-06,290000.0,Sold,15.0,284930.0
C24-10157,Renault,Kwid,Chennai,2016,9,110309,CNG,Manual,1.0,18.5,1997,Yes,2025-01-31,166000.0,Sold,35.0,165404.0
C24-10158,Maruti Suzuki,Dzire,Bengaluru,2016,9,114731,Petrol,Automatic,1.0,13.3,1498,No,2024-06-22,188000.0,Sold,1.0,184125.0
C24-10159,Kia,Seltos,Pune,2012,13,159357,Diesel,Manual,1.0,14.4,1197,Yes,2024-11-27,169000.0,Sold,3.0,164203.0
C24-10160,Kia,Sonet,Jaipur,2024,1,13653,Diesel,Automatic,3.0,21.0,1498,Yes,2024-03-21,991000.0,Sold,18.0,948783.0
C24-10161,Maruti Suzuki,Alto,Chandigarh,2020,5,60868,CNG,Automatic,2.0,21.9,1498,Yes,2025-03-04,296000.0,Sold,7.0,288746.0
C24-10162,Renault,Triber,Mumbai,2023,2,22925,Petrol,Manual,1.0,21.2,1498,Yes,2024-10-16,702000.0,Sold,2.0,677821.0
C24-10163,Honda,City,Ahmedabad,2014,11,138236,Diesel,Automatic,1.0,23.2,1197,Yes,2024-05-05,221000.0,Sold,33.0,219209.0
C24-10164,Toyota,Urban Cruiser,Mumbai,2017,8,111131,Diesel,Manual,1.0,16.2,1199,Yes,2024-06-03,440000.0,Sold,6.0,407417.0
C24-10165,Renault,Kwid,Mumbai,2016,9,108051,Petrol,Manual,1.0,17.6,2000,Yes,2024-07-19,187000.0,Sold,123.0,182685.0
C24-10166,Honda,City,Chennai,2012,13,145855,Petrol,Manual,1.0,18.5,1997,Yes,2025-05-11,146000.0,Sold,28.0,138088.0
C24-10167,Toyota,Urban Cruiser,Kolkata,2019,6,78790,Petrol,Manual,4.0,19.3,1000,No,2024-04-08,403000.0,Sold,55.0,382901.0
C24-10168,Volkswagen,Vento,Chandigarh,2019,6,71758,Petrol,Automatic,1.0,15.7,1000,No,2024-05-19,388000.0,Sold,1.0,364848.0
C24-10169,Kia,Seltos,Delhi NCR,2021,4,51741,Diesel,Manual,,17.5,2200,Yes,2024-08-15,609000.0,Sold,6.0,599098.0
C24-10170,Ford,EcoSport,Jaipur,2016,9,107560,Petrol,Automatic,2.0,19.1,1498,Yes,2024-05-26,211000.0,Sold,12.0,206677.0
C24-10171,Toyota,Innova,Kolkata,2024,1,10364,Petrol,Manual,,18.3,1498,Yes,2024-07-22,1388000.0,Sold,24.0,1357046.0
C24-10172,Ford,Figo,Jaipur,2013,12,151625,Diesel,Automatic,1.0,20.1,800,Yes,2024-05-20,147000.0,Sold,55.0,137957.0
C24-10173,Volkswagen,Polo,Delhi NCR,2019,6,77725,Diesel,Manual,1.0,14.2,1498,Yes,2024-03-15,432000.0,Sold,10.0,428163.0
C24-10174,Hyundai,Verna,Bengaluru,2019,6,70908,Petrol,Manual,1.0,11.5,1498,Yes,2025-03-26,376000.0,Sold,38.0,348048.0
C24-10175,Kia,Carens,Chennai,2012,13,153287,Petrol,Manual,1.0,16.4,1498,Yes,2024-07-01,145000.0,Sold,28.0,139787.0
