brand,model,city,listing_date,duplicate_count
Kia,Sonet,Pune,2024-03-16,2
Mahindra,Bolero,Jaipur,2024-06-03,2
Mahindra,Scorpio,Ahmedabad,2025-06-28,2
Mahindra,Scorpio,Bengaluru,2024-11-05,2
Mahindra,Scorpio,Delhi NCR,2024-08-21,2
Mahindra,Scorpio,Mumbai,2024-05-12,2
Mahindra,XUV300,Hyderabad,2024-09-14,2
Mahindra,XUV300,Hyderabad,2025-04-12,2
Mahindra,XUV700,Bengaluru,2024-04-21,2
Mahindra,XUV700,Chennai,2025-01-31,2
Mahindra,XUV700,Delhi NCR,2024-05-21,2
Maruti Suzuki,Alto,Delhi NCR,2024-09-13,2
Maruti Suzuki,Alto,Hyderabad,2024-06-14,2
Maruti Suzuki,Alto,Mumbai,2024-03-26,2
Maruti Suzuki,Baleno,Ahmedabad,2024-01-18,2
Maruti Suzuki,Baleno,Chandigarh,2024-01-02,2
Maruti Suzuki,Baleno,Chennai,2024-03-04,2
Maruti Suzuki,Baleno,Chennai,2025-02-23,2
Maruti Suzuki,Baleno,Delhi NCR,2025-06-02,2
Maruti Suzuki,Dzire,Bengaluru,2024-06-22,2
Maruti Suzuki,Dzire,Hyderabad,2024-11-18,2
Maruti Suzuki,Dzire,Pune,2025-02-04,2
Maruti Suzuki,Swift,Delhi NCR,2024-05-10,2
Maruti Suzuki,WagonR,Chennai,2024-07-02,2
Renault,Kwid,Ahmedabad,2024-08-24,2
Renault,Kwid,Ahmedabad,2024-10-15,2
Renault,Kwid,Bengaluru,2025-03-07,2
Renault,Kwid,Chandigarh,2025-01-27,2
Renault,Kwid,Chennai,2024-10-10,2
Renault,Kwid,Chennai,2025-05-27,2
Renault,Kwid,Delhi NCR,2024-02-10,2
Renault,Kwid,Hyderabad,2024-05-19,2
Renault,Kwid,Mumbai,2024-01-07,2
Renault,Kwid,Mumbai,2025-02-28,2
Renault,Kwid,Pune,2024-06-20,2
Renault,Kwid,Pune,2025-01-28,2
Renault,Triber,Ahmedabad,2025-04-10,2
Renault,Triber,Bengaluru,2024-12-12,2
Renault,Triber,Bengaluru,2025-02-18,2
Renault,Triber,Bengaluru,2025-04-19,2
Renault,Triber,Bengaluru,2025-05-20,2
Renault,Triber,Chandigarh,2025-02-09,2
Renault,Triber,Chennai,2025-03-01,2
Renault,Triber,Delhi NCR,2024-12-18,2
Renault,Triber,Delhi NCR,2025-01-11,2
Renault,Triber,Hyderabad,2024-02-06,2
Renault,Triber,Jaipur,2024-02-06,2
Renault,Triber,Jaipur,2025-03-02,2
Renault,Triber,Kolkata,2024-01-25,2
Renault,Triber,Kolkata,2024-11-08,2
Renault,Triber,Kolkata,2025-06-18,2
Renault,Triber,Mumbai,2024-03-24,2
Renault,Triber,Mumbai,2024-10-16,2
Renault,Triber,Mumbai,2025-02-14,2
Renault,Triber,Mumbai,2025-04-02,2
Renault,Triber,Pune,2024-01-25,2
Tata,Altroz,Ahmedabad,2024-03-27,2
Tata,Nexon,Kolkata,2024-06-03,2
Tata,Punch,Ahmedabad,2024-06-02,2
Tata,Punch,Chennai,2024-12-04,2
Tata,Punch,Delhi NCR,2024-05-31,2
Tata,Punch,Hyderabad,2024-06-29,2
Tata,Punch,Jaipur,2024-09-13,2
Tata,Tiago,Bengaluru,2024-06-08,2
Tata,Tiago,Kolkata,2024-08-07,2
Tata,Tiago,Mumbai,2025-04-17,2
Toyota,Fortuner,Bengaluru,2025-01-24,2
Toyota,Glanza,Chandigarh,2024-09-20,2
Toyota,Glanza,Chandigarh,2024-11-06,2
Toyota,Glanza,Delhi NCR,2024-09-03,2
Toyota,Glanza,Hyderabad,2024-10-24,2
Toyota,Innova,Ahmedabad,2024-09-02,2
Toyota,Innova,Bengaluru,2024-07-02,2
Toyota,Innova,Bengaluru,2024-09-26,2
Toyota,Innova,Bengaluru,2025-01-31,2
Toyota,Innova,Hyderabad,2025-01-09,2
Toyota,Urban Cruiser,Hyderabad,2024-01-10,2
Volkswagen,Polo,Chandigarh,2024-08-02,2
Volkswagen,Polo,Chandigarh,2025-06-28,2
Volkswagen,Polo,Chennai,2024-08-31,2
Volkswagen,Polo,Chennai,2024-12-06,2
Volkswagen,Polo,Delhi NCR,2024-12-03,2
Volkswagen,Polo,Jaipur,2024-05-15,2
Volkswagen,Polo,Jaipur,2024-06-07,2
Volkswagen,Polo,Mumbai,2024-01-04,2
Volkswagen,Polo,Mumbai,2024-04-07,2
Volkswagen,Polo,Mumbai,2024-08-08,2
Volkswagen,Polo,Mumbai,2024-08-25,2
Volkswagen,Polo,Mumbai,2024-12-15,2
Volkswagen,Polo,Pune,2024-12-20,2
Volkswagen,Polo,Pune,2025-05-31,2
Volkswagen,Vento,Ahmedabad,2024-05-26,2
Volkswagen,Vento,Ahmedabad,2024-06-27,2
Volkswagen,Vento,Ahmedabad,2024-12-20,2
Volkswagen,Vento,Bengaluru,2024-11-10,2
Volkswagen,Vento,Bengaluru,2025-04-26,2
Volkswagen,Vento,Chandigarh,2024-01-29,2
Volkswagen,Vento,Chandigarh,2025-05-16,2
Volkswagen,Vento,Chennai,2024-06-10,2
Volkswagen,Vento,Chennai,2024-10-19,2
Volkswagen,Vento,Chennai,2025-02-06,2
Volkswagen,Vento,Chennai,2025-02-17,2
Volkswagen,Vento,Chennai,2025-06-23,2
Volkswagen,Vento,Delhi NCR,2024-11-16,2
Volkswagen,Vento,Delhi NCR,2025-06-18,2
Volkswagen,Vento,Jaipur,2025-01-06,2
Volkswagen,Vento,Jaipur,2025-03-15,2
Volkswagen,Vento,Jaipur,2025-03-31,2
Volkswagen,Vento,Kolkata,2024-01-14,2
Volkswagen,Vento,Pune,2024-05-02,2
